producto;cod_barra;descripcion;precio;fecha_mod
2228;7,7933E+12;ABROCHADORA BULIT ENGRAMPADORA ACERO USO INT.;$ 1.694,59;2/6/2021
2227;7,7933E+12;ABROCHADORA BULIT ENGRAMPADORA BROC 4/6/8 MM;$ 134,56;2/6/2021
2213;4,89306E+12;ABROCHADORA EAGLE 8538 100 H HEAVY DUTY;$ 2.195,04;25/3/2021
2214;4,89306E+12;ABROCHADORA EAGLE 8539 200 H HEAVY DUTY;$ 2.593,25;25/3/2021
2019;9,1999E+12;ABROCHADORA GRAP PINZA 10/50 CROMADA;$ 884,63;16/3/2021
2020;7,79801E+12;ABROCHADORA GRAP PINZA 10/50 PINTADA;$ 754,97;16/3/2021
2022;7,79801E+12;ABROCHADORA GRAP PINZA 21/6 PINTADA;$ 796,44;16/3/2021
2121;7,79801E+12;ABROCHADORA GRAP PINZA 65 PINTADA;$ 694,62;16/3/2021
2190;8,90106E+12;ABROCHADORA KANGARO 10 CHICA;$ 141,22;12/5/2021
2193;8,90106E+12;ABROCHADORA KANGARO HD-23 S 13 HEAVY DUTY;$ 3.387,52;12/5/2021
2192;8,90106E+12;ABROCHADORA KANGARO HD-23 S 24 HEAVY DUTY;$ 6.158,32;12/5/2021
2195;8,90106E+12;ABROCHADORA KANGARO HP-10 PINZA;$ 504,11;12/5/2021
2205;9,1999E+12;ABROCHADORA KANGARO HP-100 PINZA;$ 732,92;12/5/2021
2161;8,90106E+12;ABROCHADORA KANGARO HP-435 PINZA;$ 1.626,73;12/5/2021
2194;8,90106E+12;ABROCHADORA KANGARO HP-45 PINZA;$ 849,12;12/5/2021
2128;8,90106E+12;ABROCHADORA KANGARO HS-10A PINZA;$ 193,06;12/5/2021
2191;8,90106E+12;ABROCHADORA KANGARO HS-10EX PINZA;$ 250,27;12/5/2021
2135;8,90106E+12;ABROCHADORA KANGARO TRENDY 10;$ 269,93;12/5/2021
2134;8,90106E+12;ABROCHADORA KANGARO VERTIKA 10;$ 311,04;12/5/2021
2237;7,79393E+12;ABROCHADORA KARTEC 50 PINTADA;$ 565,39;26/4/2021
2174;4,89504E+12;ABROCHADORA LETACK -3666L- 21/6 PINZA PINTADA;$ 97,32;6/8/2020
2207;3,15414E+12;ABROCHADORA MAPED 352311 ESSENTIAL Nro 10 MINI;$ 160,83;29/4/2021
